"inc_code","category","subcategory"
"01000","homicide","homicide"
"01001","homicide","homicide"
"01002","homicide","homicide"
"01003","homicide","homicide"
"01004","homicide","homicide"
"01005","homicide","homicide"
"01007","homicide","homicide"
"01041","homicide","manslaughter"
"01042","homicide","manslaughter"
"01043","homicide","manslaughter"
"01044","homicide","manslaughter"
"01051","homicide","homicide - justifiable"
"01052","homicide","homicide - justifiable"
"01053","homicide","homicide - justifiable"
"01054","homicide","homicide - justifiable"
"01061","homicide","homicide - excusable"
"01062","homicide","homicide - excusable"
"01063","homicide","homicide - excusable"
"01064","homicide","homicide - excusable"
"01072","homicide","manslaughter"
"01074","homicide","homicide - justifiable"
"01110","homicide","manslaughter"
"01131","homicide","manslaughter"
"01132","homicide","manslaughter"
"01133","homicide","manslaughter"
"01134","homicide","manslaughter"
"01140","homicide","manslaughter"
"01150","homicide","manslaughter"
"01160","homicide","manslaughter"
"02001","rape","rape"
"02002","rape","rape"
"02003","rape","rape"
"02004","rape","rape"
"02005","rape","rape"
"02010","rape","rape"
"02020","rape","rape"
"02101","rape","rape - attempted"
"02102","rape","rape - attempted"
"02103","rape","rape - attempted"
"02104","rape","rape - attempted"
"02201","rape","rape - attempted"
"02202","rape","rape - attempted"
"02203","rape","rape - attempted"
"02204","rape","rape - attempted"
"03011","robbery","robbery - street"
"03012","robbery","robbery - street"
"03013","robbery","robbery - street"
"03014","robbery","robbery - street"
"03021","robbery","robbery - commercial"
"03022","robbery","robbery - commercial"
"03023","robbery","robbery - commercial"
"03024","robbery","robbery - commercial"
"03031","robbery","robbery - commercial"
"03032","robbery","robbery - commercial"
"03033","robbery","robbery - commercial"
"03034","robbery","robbery - commercial"
"03041","robbery","robbery - commercial"
"03042","robbery","robbery - commercial"
"03043","robbery","robbery - commercial"
"03044","robbery","robbery - commercial"
"03051","robbery","robbery - commercial"
"03052","robbery","robbery - commercial"
"03053","robbery","robbery - commercial"
"03054","robbery","robbery - commercial"
"03061","robbery","robbery - commercial"
"03062","robbery","robbery - commercial"
"03063","robbery","robbery - commercial"
"03064","robbery","robbery - commercial"
"03071","robbery","robbery - other"
"03072","robbery","robbery - other"
"03073","robbery","robbery - other"
"03074","robbery","robbery - other"
"03081","robbery","robbery - carjacking"
"03082","robbery","robbery - carjacking"
"03083","robbery","robbery - carjacking"
"03084","robbery","robbery - carjacking"
"03091","robbery","robbery - other"
"03092","robbery","robbery - other"
"03093","robbery","robbery - other"
"03094","robbery","robbery - other"
"03401","robbery","robbery - commercial"
"03411","robbery","robbery - street"
"03412","robbery","robbery - street"
"03413","robbery","robbery - street"
"03414","robbery","robbery - street"
"03421","robbery","robbery - commercial"
"03422","robbery","robbery - commercial"
"03423","robbery","robbery - commercial"
"03424","robbery","robbery - commercial"
"03431","robbery","robbery - commercial"
"03432","robbery","robbery - commercial"
"03433","robbery","robbery - commercial"
"03434","robbery","robbery - commercial"
"03441","robbery","robbery - commercial"
"03442","robbery","robbery - commercial"
"03443","robbery","robbery - commercial"
"03444","robbery","robbery - commercial"
"03451","robbery","robbery - residential"
"03452","robbery","robbery - residential"
"03453","robbery","robbery - residential"
"03454","robbery","robbery - residential"
"03461","robbery","robbery - commercial"
"03462","robbery","robbery - commercial"
"03463","robbery","robbery - commercial"
"03464","robbery","robbery - commercial"
"03471","robbery","robbery - other"
"03472","robbery","robbery - other"
"03473","robbery","robbery - other"
"03474","robbery","robbery - other"
"03481","robbery","robbery - commercial"
"03482","robbery","robbery - commercial"
"03483","robbery","robbery - commercial"
"03484","robbery","robbery - commercial"
"03491","robbery","robbery - other"
"03492","robbery","robbery - other"
"03493","robbery","robbery - other"
"03494","robbery","robbery - other"
"04011","assault","aggravated assault"
"04012","assault","aggravated assault"
"04013","assault","aggravated assault"
"04014","assault","aggravated assault"
"04021","assault","aggravated assault"
"04022","assault","aggravated assault"
"04023","assault","aggravated assault"
"04024","assault","aggravated assault"
"04025","assault","aggravated assault"
"04026","assault","aggravated assault"
"04033","assault","aggravated assault"
"04043","assault","aggravated assault"
"04051","assault","aggravated assault"
